0.0,41.3,62.9
1.0,51.6,53.1
2.0,34.2,57.6
3.0,48.6,52.9
4.0,59.7,44.6
5.0,62.7,40.9
6.0,59.2,52.7
7.0,31.7,41.3
8.0,44.7,50.4
9.0,49.9,49.1
10.0,30.4,44.2
11.0,47.5,55.5
12.0,42.8,52.2
13.0,54.9,55.0
14.0,51.8,55.5
15.0,48.2,39.8
16.0,46.5,49.3
17.0,50.9,47.0
18.0,58.3,51.2
19.0,34.0,54.1
20.0,54.4,47.3
21.0,56.3,47.5
22.0,48.0,56.7
23.0,50.3,50.9
24.0,59.2,51.9
25.0,42.5,51.6
26.0,70.2,48.5
27.0,60.5,56.7
28.0,54.3,48.0
29.0,50.3,45.7
30.0,50.3,56.1
31.0,51.2,44.9
32.0,36.1,40.5
33.0,50.8,49.9
34.0,41.0,39.9
35.0,44.1,50.9
36.0,49.1,52.6
37.0,60.9,45.8
38.0,42.5,53.1
39.0,45.5,45.9
40.0,33.0,54.9
41.0,40.9,47.2
42.0,51.8,44.8
43.0,58.3,49.3
44.0,61.5,46.8
45.0,58.1,54.2
46.0,56.3,50.6
47.0,62.8,43.3
48.0,58.9,55.4
49.0,36.6,45.8
50.0,37.3,44.9
51.0,56.3,48.7
52.0,63.6,55.6
53.0,51.1,56.8
54.0,42.6,54.6
55.0,48.1,50.4
56.0,64.3,52.9
57.0,38.0,52.9
58.0,75.3,52.8
59.0,37.9,47.6
60.0,46.2,53.9
61.0,51.5,53.1
62.0,55.5,49.8
63.0,55.5,53.2
64.0,41.4,51.0
65.0,55.8,49.9
66.0,45.0,43.9
67.0,53.1,41.2
68.0,39.5,46.6
69.0,44.7,56.0
70.0,45.9,48.6
71.0,52.7,49.3
72.0,39.4,43.9
73.0,53.7,56.6
74.0,35.8,46.6
75.0,19.9,53.6
76.0,38.0,50.7
77.0,49.0,52.3
78.0,46.8,46.1
79.0,55.6,46.7
80.0,52.1,44.5
81.0,45.4,54.8
82.0,57.7,48.1
83.0,46.2,46.9
84.0,55.2,43.3
85.0,35.0,53.5
86.0,47.1,45.7
87.0,49.8,49.6
88.0,45.0,46.2
89.0,47.0,48.8
90.0,53.4,51.1
91.0,45.8,49.2
92.0,67.2,36.1
93.0,34.9,51.8
94.0,61.7,53.2
95.0,59.0,55.6
96.0,57.4,52.7
97.0,60.3,48.0
98.0,49.4,47.5
99.0,40.1,52.6
100.0,55.8,48.1
101.0,60.4,53.9
102.0,51.9,49.9
103.0,57.8,48.9
104.0,60.1,53.1
105.0,27.0,48.0
106.0,45.0,49.3
107.0,50.7,45.9
108.0,40.1,44.4
109.0,55.3,52.6
